feelslike,precip,precipcover,windspeed,day_length
19.900,0.000,0.000,33.000,14.635
21.700,0.000,0.000,27.300,14.625
21.000,0.000,0.000,25.500,14.613
22.200,0.000,0.000,23.700,14.601
21.200,0.008,4.170,25.500,14.587
21.500,0.000,0.000,27.300,14.572
21.000,0.116,12.500,20.200,14.558
21.400,0.025,8.330,22.000,14.541
22.200,0.000,0.000,29.100,14.524
22.200,0.000,0.000,23.700,14.506
22.400,0.000,0.000,27.300,14.488
21.600,0.616,8.330,25.500,14.468
21.500,0.000,0.000,33.000,14.448
20.200,0.041,8.330,22.000,14.427
20.600,0.108,12.500,23.700,14.405
20.500,0.000,0.000,29.100,14.382
20.500,0.000,0.000,34.700,14.359
21.500,0.000,0.000,27.300,14.335
21.900,0.000,0.000,27.300,14.310
20.000,0.192,4.170,34.700,14.285
19.900,0.000,0.000,31.200,14.259
20.700,0.000,0.000,22.000,14.232
20.900,0.000,0.000,16.300,14.205
19.600,5.233,12.500,23.700,14.177
21.700,1.600,16.670,36.500,14.148
23.000,1.848,16.670,20.200,14.119
21.100,0.425,8.330,38.300,14.090
20.800,0.050,8.330,25.500,14.059
19.700,0.008,4.170,16.300,14.029
20.500,0.000,0.000,27.300,13.998
21.400,0.000,0.000,33.000,13.966
22.600,0.000,0.000,40.000,13.934
22.700,0.025,8.330,38.300,13.901
22.500,0.017,4.170,33.000,13.869
23.400,0.025,8.330,34.700,13.835
23.300,0.000,0.000,40.000,13.801
22.800,10.608,16.670,29.100,13.768
20.800,46.307,29.170,22.000,13.733
25.100,1.059,25.000,25.500,13.698
25.000,1.464,20.830,29.100,13.663
24.800,0.242,12.500,29.100,13.628
23.900,1.774,12.500,29.100,13.592
25.000,0.333,16.670,45.700,13.556
20.900,3.208,16.670,76.000,13.520
19.100,0.767,8.330,29.100,13.483
18.100,0.000,0.000,25.500,13.447
19.700,0.000,0.000,23.700,13.410
19.500,0.000,0.000,18.100,13.373
21.200,0.000,0.000,22.000,13.335
20.300,0.958,4.170,14.500,13.298
21.100,0.000,0.000,22.000,13.260
21.000,0.000,0.000,20.200,13.222
22.500,0.091,8.330,14.500,13.184
22.400,0.000,0.000,23.700,13.146
22.200,0.025,4.170,23.700,13.107
20.400,0.000,0.000,23.700,13.069
20.100,0.000,0.000,22.000,13.030
20.200,0.000,0.000,18.100,12.991
19.900,0.000,0.000,18.100,12.952
20.400,0.000,0.000,16.600,12.913
20.200,0.208,4.170,27.300,12.874
18.800,0.000,0.000,27.300,12.835
19.400,0.000,0.000,22.000,12.796
20.200,0.008,4.170,23.700,12.756
20.300,0.000,0.000,25.500,12.717
20.400,0.025,8.330,16.300,12.678
20.700,0.008,4.170,27.300,12.638
20.500,0.000,0.000,22.000,12.599
20.500,0.000,0.000,27.300,12.559
20.400,0.000,0.000,25.500,12.520
20.800,0.000,0.000,22.000,12.480
22.300,0.000,0.000,20.200,12.441
19.400,0.000,0.000,27.300,12.401
19.800,0.000,0.000,23.700,12.361
19.800,0.000,0.000,20.500,12.322
18.500,0.000,0.000,20.500,12.282
17.900,0.958,4.170,13.000,12.242
18.300,23.210,12.500,27.700,12.203
20.000,0.233,12.500,44.600,12.164
20.600,90.186,25.000,35.300,12.124
21.800,1.917,4.170,33.500,12.084
20.400,2.374,16.670,22.300,12.045
19.900,0.133,12.500,57.600,12.006
19.600,0.083,4.170,55.400,11.966
18.700,0.000,0.000,38.900,11.927
17.500,0.000,0.000,20.500,11.888
17.900,0.008,4.170,25.900,11.849
18.700,0.000,0.000,24.100,11.810
19.800,0.000,0.000,16.600,11.771
19.000,0.000,0.000,22.300,11.732
19.700,0.000,0.000,20.500,11.693
19.400,0.192,4.170,18.400,11.654
19.200,0.000,0.000,20.500,11.616
18.900,0.200,8.330,16.600,11.577
19.400,0.000,0.000,22.300,11.539
20.600,5.017,8.330,31.700,11.500
18.200,0.408,8.330,33.500,11.462
16.000,0.008,4.170,18.400,11.424
18.200,0.000,0.000,25.900,11.386
16.900,0.000,0.000,16.600,11.348
16.500,0.192,4.170,18.400,11.311
18.800,0.208,8.330,25.900,11.273
18.400,6.539,12.500,37.100,11.236
15.200,0.000,0.000,31.700,11.199
14.900,0.008,4.170,16.600,11.162
15.300,0.008,4.170,16.600,11.125
16.900,0.008,4.170,37.100,11.088
17.700,5.413,12.500,33.500,11.052
20.100,0.824,16.670,31.700,11.016
20.700,0.225,12.500,31.700,10.980
20.400,4.901,16.670,29.500,10.944
18.000,3.353,12.500,46.400,10.908
15.600,0.000,0.000,38.900,10.873
16.500,2.350,16.670,38.900,10.838
16.400,5.908,12.500,24.100,10.803
14.900,0.008,4.170,20.500,10.769
17.100,0.000,0.000,22.300,10.734
16.300,0.000,0.000,14.800,10.701
15.400,0.624,12.500,18.400,10.667
14.700,0.150,12.500,20.500,10.634
15.500,2.774,16.670,20.500,10.601
15.500,0.033,12.500,16.600,10.568
15.100,0.200,4.170,11.200,10.536
15.200,0.367,12.500,18.400,10.504
15.500,0.317,8.330,20.500,10.472
14.600,0.200,8.330,18.400,10.441
14.400,0.200,8.330,11.200,10.410
13.800,0.200,8.330,16.600,10.379
15.300,0.008,4.170,20.500,10.349
15.000,6.934,12.500,22.300,10.320
11.200,0.000,0.000,18.400,10.291
10.000,0.008,4.170,14.800,10.262
11.300,0.008,4.170,7.600,10.234
15.600,0.000,0.000,25.900,10.206
17.900,0.025,4.170,40.700,10.179
18.900,0.583,4.170,38.900,10.152
18.800,1.184,16.670,24.100,10.126
17.800,1.166,12.500,18.400,10.100
17.400,10.275,16.670,27.700,10.075
14.800,1.741,12.500,55.400,10.050
14.700,1.549,12.500,44.600,10.026
15.400,6.184,16.670,40.700,10.002
14.200,0.992,12.500,31.700,9.980
13.100,0.008,4.170,35.300,9.958
15.600,0.000,0.000,31.700,9.936
13.300,2.109,8.330,18.400,9.915
10.700,0.216,8.330,14.800,9.895
11.800,0.200,8.330,16.600,9.875
15.100,0.792,4.170,44.600,9.856
17.400,27.367,16.670,42.500,9.838
16.600,3.075,12.500,29.500,9.821
17.900,13.380,12.500,40.700,9.803
15.200,6.174,12.500,25.900,9.787
14.700,3.758,16.670,33.500,9.772
13.700,0.775,12.500,24.100,9.757
12.700,9.601,8.330,29.500,9.744
14.800,16.324,16.670,20.500,9.730
14.000,4.839,12.500,22.300,9.718
15.400,1.167,8.330,24.100,9.706
14.600,1.924,12.500,27.700,9.696
13.700,5.776,16.670,37.100,9.686
13.900,20.544,16.670,40.700,9.677
14.200,13.017,12.500,29.500,9.668
13.300,20.584,16.670,50.000,9.661
13.900,1.975,16.670,44.600,9.654
13.900,3.841,12.500,31.700,9.649
14.000,0.392,4.170,25.900,9.643
13.500,1.166,4.170,16.600,9.639
12.700,2.616,12.500,18.400,9.636
13.300,5.917,8.330,18.400,9.634
9.100,0.000,0.000,25.900,9.632
7.000,0.000,0.000,25.900,9.631
7.100,0.000,0.000,16.600,9.631
8.900,0.000,0.000,14.800,9.632
11.100,1.200,12.500,29.500,9.634
13.300,12.748,12.500,16.600,9.637
12.300,0.967,8.330,16.600,9.640
11.700,0.200,4.170,14.800,9.645
11.100,0.008,4.170,13.000,9.650
11.300,9.125,8.330,27.700,9.656
13.200,0.408,4.170,37.100,9.663
13.600,0.966,8.330,27.700,9.671
11.700,0.575,8.330,22.300,9.679
10.600,0.384,8.330,18.400,9.688
11.800,0.583,8.330,14.800,9.698
12.200,15.917,4.170,29.500,9.709
13.700,15.148,8.330,24.100,9.721
13.600,2.909,4.170,33.500,9.733
16.600,48.162,16.670,38.900,9.746
15.900,4.075,12.500,35.300,9.761
14.300,0.000,0.000,20.500,9.775
14.100,4.624,12.500,33.500,9.791
16.000,56.665,16.670,50.000,9.807
14.200,6.934,12.500,25.900,9.824
12.300,8.415,16.670,29.500,9.841
12.400,7.325,12.500,29.500,9.860
11.100,0.391,8.330,28.400,9.879
9.200,2.901,8.330,11.200,9.898
10.200,0.025,8.330,13.600,9.919
14.700,4.225,16.670,30.900,9.939
13.300,13.939,16.670,22.900,9.961
11.300,12.651,16.670,35.900,9.983
9.400,0.767,4.170,23.500,10.006
9.000,0.008,4.170,17.700,10.029
11.500,1.009,8.330,34.700,10.053
13.800,19.411,16.670,47.500,10.077
14.800,14.399,12.500,36.500,10.102
13.700,7.800,12.500,45.100,10.128
13.900,4.175,12.500,32.100,10.154
13.100,0.400,8.330,32.900,10.181
11.800,0.200,8.330,25.300,10.208
11.700,3.966,12.500,48.100,10.235
11.400,1.350,8.330,26.500,10.264
9.600,0.200,4.170,18.400,10.292
12.600,0.000,0.000,16.600,10.321
11.200,0.392,8.330,10.000,10.350
9.600,0.208,12.500,9.200,10.380
11.200,0.392,12.500,15.400,10.410
13.800,13.133,12.500,22.900,10.440
11.200,19.392,16.670,17.200,10.471
12.600,10.330,16.670,21.000,10.502
11.500,2.892,8.330,16.500,10.534
9.400,0.192,4.170,17.700,10.566
7.900,0.000,0.000,26.500,10.599
10.500,2.117,8.330,17.200,10.631
10.300,0.392,12.500,11.200,10.664
11.400,0.000,0.000,19.800,10.697
15.400,0.217,12.500,36.500,10.731
16.200,2.933,16.670,42.000,10.764
16.600,32.003,16.670,50.000,10.798
16.900,14.043,12.500,39.500,10.833
16.900,4.317,8.330,42.000,10.867
15.800,0.042,4.170,20.500,10.902
14.500,7.900,16.670,24.700,10.937
13.300,10.141,12.500,25.900,10.973
12.900,0.392,8.330,21.500,11.008
13.800,21.351,8.330,41.300,11.043
14.600,10.217,16.670,39.400,11.079
14.000,0.008,4.170,30.300,11.115
12.700,0.200,4.170,14.100,11.152
11.100,0.000,0.000,15.400,11.188
10.700,0.167,12.500,15.400,11.225
11.000,0.000,0.000,12.300,11.261
11.600,0.008,4.170,11.800,11.298
11.400,0.000,0.000,15.300,11.336
12.300,0.583,8.330,28.900,11.373
13.500,3.550,12.500,25.900,11.410
10.600,39.991,12.500,27.700,11.447
8.000,13.709,8.330,37.700,11.485
9.400,0.000,0.000,14.800,11.523
10.700,0.192,4.170,16.600,11.561
11.500,0.008,4.170,15.900,11.599
11.400,0.525,16.670,22.300,11.636
13.100,0.225,8.330,22.300,11.674
15.200,14.324,16.670,47.000,11.713
15.300,0.083,4.170,43.200,11.751
12.400,0.425,12.500,19.800,11.789
10.400,0.967,4.170,24.100,11.828
12.500,0.008,4.170,28.300,11.866
12.100,0.000,0.000,23.500,11.905
13.100,0.200,4.170,23.500,11.944
15.800,0.084,8.330,38.900,11.982
16.200,4.017,12.500,28.900,12.021
15.300,3.898,16.670,23.500,12.060
12.900,3.080,8.330,21.600,12.099
13.700,4.701,12.500,17.200,12.137
14.200,0.392,12.500,28.900,12.176
15.800,0.000,0.000,24.100,12.215
14.000,0.141,12.500,35.900,12.254
14.900,0.024,12.500,38.300,12.293
14.300,0.767,4.170,31.700,12.332
15.600,0.025,8.330,27.100,12.371
16.800,9.498,20.830,19.800,12.410
16.300,32.704,20.830,35.200,12.449
16.500,3.990,20.830,24.700,12.488
15.000,3.117,12.500,37.700,12.527
13.500,0.809,16.670,15.400,12.566
13.500,2.950,12.500,46.400,12.605
10.700,2.325,12.500,48.600,12.644
10.000,0.008,4.170,28.900,12.683
11.600,0.000,0.000,21.700,12.722
14.000,0.008,4.170,22.700,12.760
15.000,0.000,0.000,22.300,12.799
14.900,0.000,0.000,16.000,12.838
15.100,0.000,0.000,10.000,12.876
15.200,0.000,0.000,15.900,12.915
14.000,0.566,8.330,24.100,12.953
13.300,0.008,4.170,22.900,12.992
14.000,0.000,0.000,30.300,13.030
15.700,0.583,8.330,21.100,13.068
15.400,5.200,12.500,32.900,13.106
14.300,0.400,12.500,38.900,13.144
15.100,0.000,0.000,35.900,13.181
15.300,0.992,20.830,40.000,13.219
14.500,0.208,4.170,15.900,13.257
14.400,0.000,0.000,24.700,13.294
15.500,0.000,0.000,34.100,13.331
15.800,0.000,0.000,25.900,13.368
16.000,0.192,12.500,21.100,13.405
16.800,0.000,0.000,22.300,13.441
18.500,0.008,4.170,31.700,13.478
18.700,10.618,16.670,32.300,13.514
17.700,60.594,29.170,22.200,13.549
18.600,0.025,4.170,21.700,13.585
18.000,0.000,0.000,19.800,13.620
18.100,0.008,4.170,30.900,13.656
18.400,2.892,4.170,29.500,13.690
17.200,0.000,0.000,25.300,13.724
16.800,0.000,0.000,32.900,13.759
16.200,0.000,0.000,29.700,13.792
16.600,0.000,0.000,27.100,13.826
14.800,3.666,12.500,24.700,13.859
16.900,9.632,25.000,27.700,13.892
17.800,1.050,8.330,32.100,13.924
17.200,24.535,29.170,37.100,13.956
19.400,0.357,12.500,32.900,13.987
17.300,0.959,8.330,25.300,14.018
17.500,0.000,0.000,22.900,14.049
18.400,0.675,8.330,15.900,14.079
19.700,0.017,4.170,20.500,14.108
18.000,14.734,12.500,27.700,14.137
17.700,15.942,16.670,31.700,14.166
17.600,1.374,20.830,27.100,14.194
17.100,18.492,16.670,26.500,14.221
17.300,5.875,16.670,32.100,14.248
18.400,1.572,16.670,39.500,14.274
16.700,13.481,25.000,45.900,14.300
16.200,14.408,12.500,46.400,14.324
16.100,2.998,25.000,41.600,14.349
16.800,0.766,8.330,21.100,14.372
15.400,15.618,8.330,25.900,14.395
16.500,4.300,12.500,33.900,14.417
17.200,0.000,0.000,18.400,14.438
17.800,13.925,16.670,38.300,14.459
16.400,1.192,8.330,44.600,14.479
16.700,0.000,0.000,31.700,14.498
16.700,0.192,4.170,23.500,14.516
16.800,0.000,0.000,24.700,14.533
16.700,0.000,0.000,23.500,14.549
16.800,0.000,0.000,16.600,14.565
17.100,11.673,12.500,33.500,14.580
17.100,0.483,16.670,35.900,14.594
18.700,2.454,16.670,32.300,14.607
19.700,19.426,20.830,22.300,14.619
19.300,10.676,25.000,19.200,14.630
19.100,1.159,8.330,21.700,14.640
20.200,0.033,8.330,26.500,14.650
18.500,3.370,16.670,29.700,14.658
20.000,16.745,20.830,23.500,14.665
21.400,0.167,8.330,17.900,14.671
20.000,8.626,8.330,13.600,14.677
20.400,9.034,16.670,32.900,14.681
19.900,0.000,0.000,18.400,14.684
20.600,0.800,16.670,27.100,14.687
20.700,0.000,0.000,22.900,14.688
21.200,0.649,16.670,21.700,14.689
20.700,0.008,4.170,29.500,14.688
20.100,0.000,0.000,22.300,14.687
20.200,0.000,0.000,24.100,14.684
20.200,23.003,4.170,21.700,14.681
20.800,0.000,0.000,23.500,14.676
21.600,0.000,0.000,17.700,14.670
21.300,0.000,0.000,25.300,14.664
21.300,0.000,0.000,29.500,14.656
20.900,0.200,8.330,25.300,14.648
